,mouse,session,fiber side,trial numbers,trial type,side,outcome,last trial type,last choice,last outcome,next trial type,next choice,next outcome,norm APE,stay or switch
66,SNL_photo21,20200829,left,112.0,1.0,ipsi,1.0,7.0,contra,1.0,4.0,contra,0.0,2.3734626091984414,switch
67,SNL_photo21,20200829,left,415.0,6.0,contra,1.0,1.0,ipsi,1.0,1.0,ipsi,1.0,2.3616726183204237,switch
68,SNL_photo21,20200829,left,507.0,5.0,ipsi,0.0,1.0,ipsi,1.0,6.0,contra,1.0,2.3573595567495413,stay
69,SNL_photo21,20200829,left,316.0,6.0,contra,1.0,1.0,ipsi,1.0,4.0,ipsi,0.0,2.357220589226988,switch
70,SNL_photo21,20200829,left,161.0,7.0,contra,1.0,7.0,contra,1.0,4.0,ipsi,0.0,2.3501596682374415,stay
71,SNL_photo21,20200829,left,31.0,6.0,contra,1.0,5.0,ipsi,0.0,7.0,contra,1.0,2.3168024754348173,switch
72,SNL_photo21,20200829,left,425.0,5.0,contra,1.0,3.0,ipsi,1.0,3.0,contra,0.0,2.3032627335655476,switch
73,SNL_photo21,20200829,left,490.0,7.0,contra,1.0,7.0,contra,1.0,5.0,contra,1.0,2.247450382337686,stay
74,SNL_photo21,20200829,left,198.0,7.0,contra,1.0,7.0,contra,1.0,3.0,ipsi,1.0,2.2271639141096076,stay
75,SNL_photo21,20200829,left,174.0,7.0,contra,1.0,1.0,ipsi,1.0,5.0,contra,1.0,2.209915936167781,switch
76,SNL_photo21,20200829,left,302.0,7.0,contra,1.0,1.0,ipsi,1.0,4.0,ipsi,0.0,2.2077404522971005,switch
77,SNL_photo21,20200829,left,429.0,2.0,ipsi,1.0,5.0,ipsi,0.0,2.0,ipsi,1.0,2.1936073271837917,stay
78,SNL_photo21,20200829,left,125.0,7.0,contra,1.0,5.0,ipsi,0.0,7.0,contra,1.0,2.1782529528744163,switch
79,SNL_photo21,20200829,left,479.0,3.0,ipsi,1.0,4.0,ipsi,1.0,3.0,ipsi,1.0,2.158371131899071,stay
80,SNL_photo21,20200829,left,204.0,7.0,contra,1.0,3.0,contra,0.0,7.0,contra,1.0,2.1468444615558107,stay
81,SNL_photo21,20200829,left,433.0,7.0,contra,1.0,6.0,contra,1.0,6.0,contra,1.0,2.146681764845714,stay
82,SNL_photo21,20200829,left,187.0,3.0,contra,0.0,2.0,contra,0.0,5.0,contra,1.0,2.1454058518978147,stay
83,SNL_photo21,20200829,left,126.0,7.0,contra,1.0,7.0,contra,1.0,5.0,contra,1.0,2.1274523913619863,stay
84,SNL_photo21,20200829,left,72.0,5.0,contra,1.0,7.0,contra,1.0,3.0,contra,0.0,2.0945518279306645,stay
85,SNL_photo21,20200829,left,453.0,7.0,contra,1.0,6.0,contra,1.0,6.0,ipsi,0.0,2.0909476037314647,stay
86,SNL_photo21,20200829,left,457.0,5.0,contra,1.0,1.0,ipsi,1.0,6.0,contra,1.0,2.089794758270872,switch
87,SNL_photo21,20200829,left,140.0,5.0,contra,1.0,1.0,ipsi,1.0,1.0,ipsi,1.0,2.087527833548362,switch
88,SNL_photo21,20200829,left,379.0,2.0,ipsi,1.0,2.0,contra,0.0,1.0,ipsi,1.0,2.086623946723114,switch
89,SNL_photo21,20200829,left,121.0,5.0,contra,1.0,6.0,contra,1.0,7.0,contra,1.0,2.082890759335625,stay
90,SNL_photo21,20200829,left,120.0,6.0,contra,1.0,5.0,contra,1.0,5.0,contra,1.0,2.081154712802852,stay
91,SNL_photo21,20200829,left,124.0,5.0,ipsi,0.0,3.0,contra,0.0,7.0,contra,1.0,2.0759664604391115,switch
92,SNL_photo21,20200829,left,8.0,1.0,ipsi,1.0,2.0,ipsi,1.0,5.0,contra,1.0,2.056191039951658,stay
93,SNL_photo21,20200829,left,381.0,7.0,contra,1.0,1.0,ipsi,1.0,7.0,contra,1.0,2.051098938078253,switch
94,SNL_photo21,20200829,left,34.0,2.0,ipsi,1.0,5.0,contra,1.0,3.0,ipsi,1.0,2.0478067219649,switch
95,SNL_photo21,20200829,left,155.0,5.0,ipsi,0.0,4.0,ipsi,1.0,5.0,contra,1.0,2.037278965316012,stay
96,SNL_photo21,20200829,left,460.0,7.0,contra,1.0,2.0,ipsi,1.0,6.0,contra,1.0,2.0361154000734376,switch
97,SNL_photo21,20200829,left,196.0,4.0,ipsi,1.0,1.0,ipsi,1.0,7.0,contra,1.0,2.0016418737663915,stay
98,SNL_photo21,20200829,left,111.0,7.0,contra,1.0,5.0,ipsi,0.0,1.0,ipsi,1.0,1.9988568558688335,switch
99,SNL_photo21,20200829,left,13.0,3.0,contra,0.0,6.0,ipsi,0.0,4.0,contra,1.0,1.9848775631477389,switch
100,SNL_photo21,20200829,left,136.0,4.0,contra,0.0,1.0,ipsi,1.0,1.0,ipsi,1.0,1.9809509991672838,switch
101,SNL_photo21,20200829,left,97.0,6.0,contra,1.0,1.0,ipsi,1.0,2.0,ipsi,1.0,1.9627726365549047,switch
102,SNL_photo21,20200829,left,73.0,3.0,contra,0.0,5.0,contra,1.0,5.0,contra,1.0,1.9579192389924218,stay
103,SNL_photo21,20200829,left,282.0,5.0,contra,1.0,7.0,contra,1.0,2.0,ipsi,1.0,1.9505638708743638,stay
104,SNL_photo21,20200829,left,218.0,3.0,ipsi,1.0,2.0,ipsi,1.0,2.0,ipsi,1.0,1.9407526191097386,stay
105,SNL_photo21,20200829,left,117.0,7.0,contra,1.0,5.0,contra,1.0,7.0,contra,1.0,1.9378650747695534,stay
106,SNL_photo21,20200829,left,197.0,7.0,contra,1.0,4.0,ipsi,1.0,7.0,contra,1.0,1.9366249430120965,switch
107,SNL_photo21,20200829,left,482.0,3.0,contra,0.0,3.0,ipsi,1.0,6.0,contra,1.0,1.934919534760541,switch
108,SNL_photo21,20200829,left,32.0,7.0,contra,1.0,6.0,contra,1.0,5.0,contra,1.0,1.928793227918124,stay
109,SNL_photo21,20200829,left,296.0,3.0,ipsi,1.0,2.0,ipsi,1.0,6.0,contra,1.0,1.9279321016899846,stay
110,SNL_photo21,20200829,left,294.0,6.0,contra,1.0,7.0,contra,1.0,2.0,ipsi,1.0,1.9034726210722666,stay
111,SNL_photo21,20200829,left,189.0,4.0,contra,1.0,5.0,contra,1.0,6.0,contra,1.0,1.9023780411531632,stay
112,SNL_photo21,20200829,left,344.0,2.0,ipsi,1.0,6.0,contra,1.0,7.0,contra,1.0,1.8711266122160146,switch
113,SNL_photo21,20200829,left,128.0,3.0,contra,0.0,5.0,contra,1.0,1.0,ipsi,1.0,1.8621231729302312,stay
114,SNL_photo21,20200829,left,188.0,5.0,contra,1.0,3.0,contra,0.0,4.0,contra,1.0,1.8587629816939717,stay
115,SNL_photo21,20200829,left,370.0,7.0,contra,1.0,1.0,ipsi,1.0,6.0,contra,1.0,1.8551113403306587,switch
116,SNL_photo21,20200829,left,376.0,6.0,ipsi,0.0,1.0,ipsi,1.0,7.0,contra,1.0,1.8521536955674938,stay
117,SNL_photo21,20200829,left,224.0,2.0,ipsi,1.0,4.0,ipsi,0.0,2.0,ipsi,1.0,1.8499743066760972,stay
118,SNL_photo21,20200829,left,443.0,7.0,contra,1.0,5.0,contra,1.0,7.0,contra,1.0,1.8493331067057417,stay
119,SNL_photo21,20200829,left,300.0,5.0,contra,1.0,7.0,contra,1.0,1.0,ipsi,1.0,1.8420126649261062,stay
120,SNL_photo21,20200829,left,299.0,7.0,contra,1.0,7.0,contra,1.0,5.0,contra,1.0,1.829904368259101,stay
121,SNL_photo21,20200829,left,227.0,6.0,contra,1.0,7.0,contra,1.0,7.0,contra,1.0,1.8181164497064888,stay
122,SNL_photo21,20200829,left,290.0,5.0,contra,1.0,5.0,ipsi,0.0,6.0,contra,1.0,1.814464421675565,switch
123,SNL_photo21,20200829,left,450.0,1.0,contra,0.0,2.0,contra,0.0,5.0,ipsi,0.0,1.809076290253771,stay
124,SNL_photo21,20200829,left,217.0,2.0,ipsi,1.0,1.0,ipsi,1.0,3.0,ipsi,1.0,1.806881129586682,stay
125,SNL_photo21,20200829,left,440.0,7.0,contra,1.0,5.0,contra,1.0,7.0,contra,1.0,1.8036941818412886,stay
126,SNL_photo21,20200829,left,10.0,1.0,ipsi,1.0,5.0,contra,1.0,4.0,ipsi,0.0,1.8028674873758133,switch
127,SNL_photo21,20200829,left,350.0,4.0,ipsi,0.0,7.0,contra,1.0,3.0,ipsi,1.0,1.8006522741411883,switch
128,SNL_photo21,20200829,left,233.0,2.0,ipsi,1.0,4.0,contra,1.0,3.0,ipsi,1.0,1.7907313628409567,switch
129,SNL_photo21,20200829,left,139.0,1.0,ipsi,1.0,4.0,contra,0.0,5.0,contra,1.0,1.7880276244835889,switch
130,SNL_photo21,20200829,left,88.0,7.0,contra,1.0,2.0,ipsi,1.0,2.0,ipsi,1.0,1.7801343872394204,switch
